id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,weight_norm,ram_norm,price_norm,graphics_norm,disk_norm,battery_norm,display_norm,processor_norm,max_memory_norm,image_url,rating
13,Lenovo,IdeaPad 3 15ITL6,1.65,8,39490,0,512,7.5,15.6,4.1,12,https://amazon.in/Lenovo-IdeaPad-Windows-Warranty-82H801L7IN/dp/B09NP4KXMS/ref=sr_1_14?keywords=laptop&qid=1654755253&sr=8-14,1.300518135,1.333333333,1.201030928,1,1.466666667,1.35,1.645653279,1.833333333,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/51tbcILVglL._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars
14,Lenovo,IdeaPad 3 15ITL6,1.65,8,39490,0,512,6,15.6,3,12,https://amazon.in/Lenovo-IdeaPad-Windows-Warranty-82H802FJIN/dp/B09Q5QLHSQ/ref=sr_1_15?keywords=laptop&qid=1654755253&sr=8-15,1.300518135,1.333333333,1.201030928,1,1.466666667,1.2,1.645653279,1.527777778,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/51tbcILVglL._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars
15,Lenovo,laptop,1.7,8,45990,0,512,8,15.6,4.2,12,https://amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB014SIN/dp/B09XGZK53H/ref=sr_1_16?keywords=laptop&qid=1654755253&sr=8-16,1.32642487,1.333333333,1.268041237,1,1.466666667,1.4,1.645653279,1.861111111,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41PnIUzyYML._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars
16,ASUS,VivoBook Pro 14 OLED (2021),1.4,16,64990,16,512,10,15.98425197,4.4,16,https://amazon.in/ASUS-VivoBook-i5-11300H-Graphics-K3400PA-KM502WS/dp/B09RQKDCG3/ref=sr_1_97?keywords=laptop&qid=1654755266&sr=8-97,1.170984456,2,1.463917526,2,1.466666667,1.6,1.707676665,1.916666667,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/41-1hHlR-8L._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
17,Infinix,INBook X1,1.4,8,34999,0,256,4,14,1.2,8,https://amazon.in/Infinix-INBook-Core-10th-Gen/dp/B09W87DQ6X/ref=sr_1_98?keywords=laptop&qid=1654755266&sr=8-98,1.170984456,1.333333333,1.154731959,1,1.2,1,1.387391967,1.027777778,1.142857143,https://images-eu.ssl-images-amazon.com/images/I/51jjwxcW1pL._SY300_SX300_QL70_ML2_.jpg,4.4 out of 5 stars
18,Dell,G15-5511,2.65,16,74490,4,512,8,15.6,2.6,32,https://amazon.in/Dell-i5-11260H-39-62Cms-Backlit-D560824WIN9B/dp/B09XX2D931/ref=sr_1_99?keywords=laptop&qid=1654755266&sr=8-99,1.81865285,2,1.56185567,1.25,1.466666667,1.4,1.645653279,1.416666667,2,https://images-eu.ssl-images-amazon.com/images/I/415EZD5J1QL._SX300_SY300_QL70_ML2_.jpg,5.0 out of 5 stars
19,ASUS,laptop,1.8,8,33490,4,1024,8,17.79527559,4.1,12,https://amazon.in/ASUS-VivoBook-i3-10110U-39-62cms-X515FA-EJ311TS/dp/B09N9P9TWG/ref=sr_1_100?keywords=laptop&qid=1654755266&sr=8-100,1.378238342,1.333333333,1.139175258,1.25,2,1.4,2,1.833333333,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/411d6aIl1nL._SY300_SX300_QL70_ML2_.jpg,3.3 out of 5 stars
20,ASUS,Vivobook 14,1.6,8,37990,0,512,6,15.98425197,4.1,12,https://amazon.in/ASUS-Vivobook-i3-1115G4-X415EA-EB322WS-Transparent/dp/B09R5PKLH8/ref=sr_1_101?keywords=laptop&qid=1654755266&sr=8-101,1.274611399,1.333333333,1.18556701,1,1.466666667,1.2,1.707676665,1.833333333,1.285714286,https://images-eu.ssl-images-amazon.com/images/I/41DHBo5r6hL._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
21,Dell,Vostro 3510,1.8,8,40990,0,512,8,15.6,1.2,16,https://amazon.in/Dell-i3-1005G1-Office21-39-62Cms-ICC-D585033WIN8/dp/B09TNXCZ3T/ref=sr_1_102?keywords=laptop&qid=1654755266&sr=8-102,1.378238342,1.333333333,1.216494845,1,1.466666667,1.4,1.645653279,1.027777778,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/31UAVQ8rrgL._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars
22,HP,15-ec2145AX,1.98,8,69990,4,512,8,15.59055118,4.2,16,https://amazon.in/HP-Pavilion-Windows-Graphics-15-ec2145AX/dp/B09MF6MD5L/ref=sr_1_103?keywords=laptop&qid=1654755266&sr=8-103,1.471502591,1.333333333,1.515463918,1.25,1.466666667,1.4,1.644128114,1.861111111,1.428571429,https://images-eu.ssl-images-amazon.com/images/I/41j6O0FtwTL._SX300_SY300_QL70_ML2_.jpg,4.5 out of 5 stars
