id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,image_url,rating,weight_norm,ram_norm,price_norm,graphics_norm,disk_norm,battery_norm,display_norm,processor_norm,max_memory_norm
10,Lenovo,82FG01H9IN,1.66,16.0,58990.0,0.0,512.0,6.9,15.6,4.2,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02457181IASI12QTED2Y&url=%2FLenovo-IdeaPad-Fingerprint-Graphite-82FGO1H9IN%2Fdp%2FB09M423NVT%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489478%26sr%3D8-12-spons%26psc%3D1&qualifier=1656489478&id=4413978530269379&widgetName=sp_mtf,https://m.media-amazon.com/images/I/51c7JY+rpOL._SY300_SX300_.jpg,4.3 out of 5 stars,1.3633081719724318,1.1181102362204725,1.2465251040114342,1.0,1.2440944881889764,1.3483870967741935,1.6990825688073392,1.864864864864865,1.2
11,Acer,laptop,1.9,8.0,34990.0,0.0,512.0,8.0,15.6,2.6,8.0,https://amazon.in/Acer-Aspire-Ryzen-Processor-Laptop/dp/B09S3RRTPH/ref=sr_1_13?keywords=laptop&qid=1656489478&sr=8-13,https://images-eu.ssl-images-amazon.com/images/I/412v2H9aT3L._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars,1.4420741713160483,1.0551181102362204,1.1135677445445933,1.0,1.2440944881889764,1.4193548387096775,1.6990825688073392,1.4324324324324325,1.0666666666666669
12,Lenovo,laptop,1.5,4.0,28990.0,0.0,256.0,14.0,14.0,2.8,4.0,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81WH007KIN/dp/B09MM4FPMR/ref=sr_1_14?keywords=laptop&qid=1656489478&sr=8-14,https://images-eu.ssl-images-amazon.com/images/I/41NvMZxjbKL._SX300_SY300_QL70_ML2_.jpg,3.8 out of 5 stars,1.310797505743354,1.0236220472440944,1.0803284046778832,1.0,1.1181102362204725,1.806451612903225,1.4797625472207232,1.4864864864864864,1.0
13,Lenovo,laptop,2.5,4.0,18304.0,0.0,500.0,6.9,14.0,3.3,16.0,https://amazon.in/Lenovo-T420-i5-4-GB-500-GB-Integrated/dp/B07KYH14QV/ref=sr_1_15?keywords=laptop&qid=1656489478&sr=8-15,https://images-eu.ssl-images-amazon.com/images/I/41X8Z5N16KL._SX300_SY300_QL70_ML2_.jpg,3.3 out of 5 stars,1.6389891696750902,1.0236220472440944,1.0211291403752722,1.0,1.2381889763779528,1.3483870967741935,1.4797625472207232,1.6216216216216215,1.2
14,HP,HP 247 G8 Notebook 67U77PA,1.5,8.0,28797.0,0.0,512.0,6.9,14.0,2.3,16.0,https://amazon.in/HP-247-G8-Warranty-67U77PA/dp/B09RMP6MM7/ref=sr_1_16?keywords=laptop&qid=1656489478&sr=8-16,https://images-eu.ssl-images-amazon.com/images/I/41lNWrEJvvS._SY300_SX300_QL70_ML2_.jpg,3.7 out of 5 stars,1.310797505743354,1.0551181102362204,1.0792592059121706,1.0,1.2440944881889764,1.3483870967741935,1.4797625472207232,1.351351351351351,1.2
15,ASUS,laptop,1.8,16.0,46990.0,0.0,512.0,6.0,17.79527559055118,4.0,16.0,https://amazon.in/ASUS-Vivobook-15-6-inch-Integrated-M515DA-BQ722WS/dp/B09W9MBS1G/ref=sr_1_17?keywords=laptop&qid=1656489478&sr=8-17,https://images-eu.ssl-images-amazon.com/images/I/414057taYKL._SX300_SY300_QL70_ML2_.jpg,5.0 out of 5 stars,1.409255004922875,1.1181102362204725,1.1800464242780138,1.0,1.2440944881889764,1.2903225806451613,2.0,1.8108108108108107,1.2
16,Lenovo,82H801L7IN,1.65,8.0,38240.0,0.0,512.0,6.9,15.6,4.1,12.0,https://amazon.in/Lenovo-IdeaPad-Windows-Warranty-82H801L7IN/dp/B09NP4KXMS/ref=sr_1_18?keywords=laptop&qid=1656489478&sr=8-18,https://images-eu.ssl-images-amazon.com/images/I/51tbcILVglL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars,1.3600262553331146,1.0551181102362204,1.1315723869723948,1.0,1.2440944881889764,1.3483870967741935,1.6990825688073392,1.8378378378378373,1.1333333333333333
17,HP,14a-na0003TU,1.46,4.0,24889.0,4.0,64.0,6.9,14.0,1.1,4.0,https://amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_19?keywords=laptop&qid=1656489478&sr=8-19,https://images-eu.ssl-images-amazon.com/images/I/51Q78Szg2aL._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars,1.2976698391860846,1.0236220472440944,1.0576093158789863,1.03125,1.0236220472440944,1.3483870967741935,1.4797625472207232,1.027027027027027,1.0
18,Acer,A514-54,1.45,8.0,51899.0,0.0,2048.0,6.9,14.0,4.2,20.0,https://amazon.in/Acer-14-inch-Laptop-Graphics-A514-54/dp/B09RF4YLCJ/ref=sr_1_20?keywords=laptop&qid=1656489478&sr=8-20,https://images-eu.ssl-images-amazon.com/images/I/41wagRMOCeL._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars,1.2943879225467674,1.0551181102362204,1.207241744178961,1.0,2.0,1.3483870967741935,1.4797625472207232,1.864864864864865,1.2666666666666666
19,HP,14s-fq1092au,1.46,8.0,47154.0,8.0,512.0,6.9,14.0,4.0,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08324291BQ7ENQ9VMB94&url=%2FHP-Micro-Edge-Graphics-Keyboard-14s-fq1092au%2Fdp%2FB09R1L73TM%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489478%26sr%3D8-21-spons%26psc%3D1&qualifier=1656489478&id=4413978530269379&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41qola4WFTL._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars,1.2976698391860846,1.0551181102362204,1.1809549662343706,1.0625,1.2440944881889764,1.3483870967741935,1.4797625472207232,1.8108108108108107,1.2
