,id,image_url,Brand,Manufacturer,Model,Model Year,Product Dimensions,Item model number,Ram Memory Installed Size,Operating System,Hardware Interface,Graphics Coprocessor,Resolution,Mounting Hardware,Number Of Items,Display Technology,Standing screen display size,Display Type,Supported Image Type,Screen Resolution,Audio Output Mode,Supported Audio Format,Speaker Surround Sound Channel Configuration,Power Source,Batteries Required,Refresh Rate,Connector Type,Mounting Type,Supports Bluetooth Technology,Country of Origin,Item Weight,product,rating,price,product_url,Batteries,Memory Storage Capacity,Viewing Angle,Image Aspect Ratio,Image Contrast Ratio,Audio Wattage,Batteries Included,Battery Cell Composition,Total Usb Ports,Remote Control Included?,Model Name,Tuner Technology,Special Features,Remote Control Description,Remote Control Type,Image Brightness,Voltage,Wattage,Maximum Operating Distance,Real Angle Of View,Media Format,Response Time,Includes Rechargable Battery,Compatible Devices,GSM frequencies,Processor Count,Aspect Ratio,Battery Power Rating,Digital Storage Capacity,Max Resolution,Package Dimensions,Battery Description,Battery Capacity,Audio Encoding,Audio Input,Imported By,Speakers Maximum Output Power,Speaker Connectivity,Contains Liquid Contents,Item part number,Maximum Memory Supported
59,59,https://images-eu.ssl-images-amazon.com/images/I/512ItWviyoL._SY300_SX300_QL70_ML2_.jpg,SANSUI,Sansui,JSW55ASUHD,2021.0,7.28 x 53.15 x 31.89 cm; 11.1 Kilograms,JSW55ASUHD,2 GB,Android,"USB, HDMI",CA53 Quad Core,3840x2160 Pixels,"1 LED TV, 2 Table Stand Base, 1 Wall Mounting Set, 4 Screws, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Battery, 1 Power Cord, 1 Mini AV Cable",1.0,LED,55 Inches,HDR10,"GIF, JPEG",3840 x 2160 pixels,Stereo,"Mp3_audio, Wma",Dolby Audio | DTS Studio Sound,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,Yes,India,11 kg 100 g,Sansui 140cm (55 inches) 4K Ultra HD Certified Android LED TV JSW55ASUHD (Mystique Black) With Dolby Audio and DTS  ,4.5 out of 5 stars,"32,990",https://amazon.in/Sansui-Certified-Android-JSW55ASUHD-Mystique/dp/B09NNGHG22/ref=sr_1_52?keywords=tv&qid=1660812288&sr=8-52,2 AAA batteries required. (included),8 GB,178 Degrees,16:09,1300:1,20 Watts,Yes,Alkaline,2.0,Yes,,NTSC,Android 10.0 (Certified by Google) | Google Assistant | Alexa Enabled Support | Built-in Chromecast | Voice Search Smart Remote| Supported Apps: Prime Video | Netflix | Disney + Hotstar | YouTube | Google Play,"Prime, Netflix, Youtube | Google Assistant | With Voice Assitant","IR, Bluetooth",,110 Volts,20 Watts,9 Feet,178 Degrees,,8 Milliseconds,No,,,,,,,,,,,,,,,,,,
60,60,https://images-eu.ssl-images-amazon.com/images/I/41Q5zqyjWPL._SY300_SX300_QL70_ML2_.jpg,Karbonn,"Westway Electronics Limited, A001D, Sector-84, Noida, G.B Nagar, Uttar Pradesh, 201305",KJW32SKHD,2021.0,72.2 x 8 x 42.5 cm; 4.4 Kilograms,KJW32SKHD,1 GB,Android,"USB, HDMI",Mali-G31MP2,1366x768 Pixels,"1 LED TV, 2 Table Stand Base, 1 Wall Mounting Set, 4 Screws, 1 User Manual, 1 Warranty Card, 1 Remote Control, 2 AAA Battery",1.0,LED,32 Inches,A+,"GIF, JPEG",,,"Mp3_audio, Wma",Sorround,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,No,India,4 kg 400 g,Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A03301052HG8ZJO86QMJ4&url=%2FKarbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less%2Fdp%2FB0B466C3G4%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dtv%26qid%3D1660812288%26sr%3D8-53-spons%26psc%3D1&qualifier=1660812288&id=7345036439814692&widgetName=sp_btf,2 AAA batteries required. (included),8 GB,178 Degrees,16:09,3000:1,20 Watts,Yes,Manganese,2.0,Yes,KJW32SKHD,NTSC,"Prime Video, Inbuilt App Store, SonyLiv, Youtube, Hotstar, Android 9 (GOS), In-built Apps Store, Screen Sharing, Remote with Hotkeys, Movie Box | Supported Apps : Netflix",Navigation Keys for Easy Access,IR,High brightness,110 Volts,60 Watts,9 Feet,178 Degrees,"AVI, MPEG",8 Milliseconds,No,Android,60 Hz,,,,,,,,,,,,,,,,
61,61,https://m.media-amazon.com/images/I/41Y+SwHCJzL._SX300_SY300_.jpg,AmazonBasics,"Veira Electronics Private Limited D-239, SEC-63, NOIDA (U.P.) 201305",AB55U20PS,2020.0,123.6 x 9.2 x 72.4 cm; 10.3 Kilograms,AB55U20PS,1.5 GB,FireOS,"USB, HDMI",MaliG31 MP2,3840x2160 Pixels,"1 LED TV, 1 Table Top Stand, 1 Wall Mount, 1 User Manual, 1 Remote Control, 2 AAA Batteries, 1 Power Cord, 1 AV Converting cable",1.0,LED,55 Inches,LED,JPEG,3840 x 2160 pixels,Surround,"Dolby Digital, Dolby Digital + and Dolby Atmos, WMA, MP3_audio",Surround Sound,AC,Yes,60 Hz,Wi-Fi,Wall Mount,Yes,India,10 kg 300 g,AmazonBasics 139 cm (55 inches) 4K Ultra HD Smart LED Fire TV with Dolby Atmos and Dolby Vision (Black)  ,4.0 out of 5 stars,"36,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A072245884IUQUZQA39R&url=%2FAmazonBasics-139cm-inch-Ultra-Smart%2Fdp%2FB087JYRGDG%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dtv%26qid%3D1660812290%26sr%3D8-49-spons%26psc%3D1&qualifier=1660812290&id=4040806433273686&widgetName=sp_atf_next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,https://images-eu.ssl-images-amazon.com/images/I/41611VFTGwL._SY300_SX300_QL70_ML2_.jpg,Redmi,Redmi,L32M6-RA/L32M7-RA,2021.0,73 x 8.7 x 47.6 cm; 3.92 Kilograms,L32M6-RA/L32M7-RA,1 GB,Android,"AV Port, Ethernet, HDMI, Headphone, USB 2.0",Mali G31 MP2,1366 x 768 Pixels,"1 LED TV, 2 Table Stand Base, 1 User Manual, 1 Remote Control, 4 screws",1.0,LED,32 Inches,A+,JPEG,1366 x 768 pixels,Stereo,"Dolby, DTS-HD, Mp3_audio",Dolby Audio | DTS Virtual: X | DTS-HD,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,3 kg 920 g,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dtv%26qid%3D1660812290%26sr%3D8-50-spons%26psc%3D1&qualifier=1660812290&id=4040806433273686&widgetName=sp_atf_next,2 AAA batteries required.,8 GB,178 Degrees,16:09,,20 Watts,No,,2.0,Yes,Redmi Smart TV 32,NTSC,PatchWall 4 with IMDb Integration | Kids Mode with Parental Lock | 90+ Free Live Channels | Netflix | Prime Video | Disney+ Hotstar and more | Android TV 11 | Google Assistant | Chromecast Built-in | Miracast,Remote with easy Access like Voice assistant | Ok Google | Quick Wake | Quick Mute | Quick Settings | Netflix and Prime Video buttons,Bluetooth,Ultra Bright Screen,240 Volts,50 Watts,8 Feet,178 Degrees,"AVI, MPEG",,,,,,,,,,,,,,,,,,,,
63,63,https://images-eu.ssl-images-amazon.com/images/I/41f9viWzZgL._SY300_SX300_QL70_ML2_.jpg,Sony,Sony,KD-32W830K,2022.0,73 x 7.5 x 43.7 cm; 5 Kilograms,KD-32W830K,,Android,"USB, HDMI, Composite Video",X Reality Pro,1366x768 Pixels,"1 LED TV, 1 Warranty Card,1 AC Adapter, 1 AC Power Cord, 1 Remote Control, 1 Table-Top Stand, 1 User Manual, 2 AAA Batteries",1.0,LED,32 Inches,HDR,"TIFF, JPEG",1366 x 768 pixels,Two channel linear,"Mp3_audio, Wma",Dolby Audio,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,No,India,5 kg,Sony Bravia 80 cm (32 inches) HD Ready Smart LED Google TV KD-32W830K (Black) (2022 Model) | with Alexa Compatibility  ,4.7 out of 5 stars,"26,990",https://amazon.in/Sony-Bravia-inches-KD-32W830K-Compatibility/dp/B09WN5VV3V/ref=sr_1_51?keywords=tv&qid=1660812290&sr=8-51,2 AAA batteries required. (included),,178 Degrees,16:09,,20 Watts,Yes,Alkaline,2.0,Yes,Bravia,DVB-T,Google TV | Watchlist | Voice Search | Google Play | Chromecast | Netflix | Amazon Prime Video | Additional Features: Apple Airplay | Apple Homekit | Alexa,One Click Google Assistant | Youtube | Netflix | Youtube Music | Prime Video,"IR, Bluetooth",High Brightness,240 Volts,51 Watts,3 Feet,178 Degrees,"AVI, MPEG",,No,"Android Phone, Home theatre, IPhone",60 Hz,,,,,,,,,,,,,,,,
64,64,https://images-eu.ssl-images-amazon.com/images/I/41O2yBqkU7L._SX300_SY300_QL70_ML2_.jpg,Hisense,Hisense,43A6H,2022.0,96.3 x 23.3 x 61.1 cm; 7.4 Kilograms,43A6H,2 GB,Google TV,"HDMI, 3.5mm Audio, 802.11 ac/b/g/n, Bluetooth 5, USB 2.0",Arm Mali-G52,3840x2160 Pixels,"1 TV Unit, 1 Remote, 1 Table Top Stand, 1 Wall Mount Bracket, 2 AAA Battery, 1 User Manual, 1 Warranty Card",1.0,LED,43 Inches,"A+, VA, 10 bit","GIF, JPEG",3840 x 2160 pixels,Stereo,"Mp3_audio, Wma",Dolby Atmos,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,7 kg 400 g,Hisense 108 cm (43 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 43A6H (Black)  ,4.3 out of 5 stars,"29,990",https://amazon.in/Hisense-inches-Bezelless-Google-43A6H/dp/B0B1MH8Y48/ref=sr_1_52?keywords=tv&qid=1660812290&sr=8-52,,16 GB,178 Degrees,16:09,4000:1,20 Watts,Yes,Alkaline,2.0,Yes,,DVB-T2,"Google TV| Google Assistant | Chromecast, Miracast, DLNA | Auto Low Latency Mode for VRR | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now","One Click Netflix, SonyLiv, Prime Video, YouTube, Disney+ | Google Assistant | With Voice Assitant","IR, Bluetooth",Ultra Brightness,230 Volts,95 Watts,9 Feet,178 Degrees,"AVI, MPEG",8 Milliseconds,Yes,,,,,,,,,,,,,,,,,,
65,65,https://images-eu.ssl-images-amazon.com/images/I/51xBR541NEL._SY300_SX300_QL70_ML2_.jpg,Power Guard,Power Guard Industries Private Limited,PG40SVC,2022.0,90.5 x 6.6 x 51.2 cm; 6.8 Kilograms,PG40SVC,1 GB,Android,"AV Port, USB, Ethernet, HDMI, Headphone",Mali-450 GPU,1366 x 768 Pixels,"1 LED TV, 2 Table Stand Base, 1 Wall Mount, 1 User Manual, 1 Warranty Card, 2 Remote Control,2 AAA Battery",1.0,LED,40 Inches,"IPS , A+","GIF, JPEG",,Surround,"Wma, MP3, AAC, MP2, PCM","Turbo Sound , Clear Audio+",AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,6 kg 800 g,Power Guard 98 cm (40 inches) HD Ready Smart LED TV PG40SVC (Black)  ,5.0 out of 5 stars,"16,999",https://amazon.in/Power-Guard-inches-Ready-PG40SVC/dp/B0B36288WQ/ref=sr_1_53?keywords=tv&qid=1660812290&sr=8-53,,8 GB,178 Degrees,16:09,4000:1,20 Watts,No,,2.0,Yes,PG40SVC,DVB-T,"Air Mouse|Remote With Voice Assistant|Super Luma| Rich Contrast |X Motion Clarity | Turbo Sound |Clear Audio+ | Supported Application : Netflix, Youtube, Prime Video, Hotstar, Sonyliv, Hungama, Jiocinema, Zee5, Eros Now , Jio Games , Jio Cinema","One Click Play Store,Screenshot,Youtube,Hotstar,Netflix | Air Mouse | With Voice Assitant","IR , Bluetooth",High Brightness,240 Volts,75 Watts,3 Feet,178 Degrees,"DVD, MPEG",6 Milliseconds,,"Android Phones, Apple IOS , Apple Airplay",,,,,,720 Pixels,,,,,,,,,,,
66,66,https://m.media-amazon.com/images/I/41+G5oOIDuL._SY300_SX300_.jpg,LG,LG,32LQ576BPSA,2022.0,8.4 x 73.9 x 44.1 cm; 4.85 Kilograms,32LQ576BPSA,1 GB,WebOS,"HDMI, Headphone, USB 2.0, Bluetooth 5",LG Graphics Processor,1366 x 768 Pixels,"1 LED TV, 1 User Manual, 1 Warranty Card, 1 Remote Control, Batteries",1.0,LED,32 Inches,Smart Slim Design,"GIF, JPEG",1366 x 768 pixels,Stereo,"DTS Express, WMA, apt-X, AC3(Dolby Digital), EAC3, HE-AAC, AAC, MP2, MP3, PCM, DTS, DTS-HD","Virtual Surround 5.1, Bluetooth Surround Ready",AC,No,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,4 kg 850 g,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black)  ,4.3 out of 5 stars,"18,990",https://amazon.in/LG-inches-Ready-32LQ576BPSA-Ceramic/dp/B09YL9SN9B/ref=sr_1_54?keywords=tv&qid=1660812290&sr=8-54,2 AA batteries required. (included),8 GB,178 Degrees,16:09,1100:1,10 Watts,Yes,Alkaline,1.0,Yes,32LQ576,DVB-T,"5 Gen 5 AI Processor | Web OS Operating System | Wi-Fi | Magic Remote | Full Web Browser | Screen Share | Game Optimizer | Built-in Alexa | Google Assistant | AI Functions | Works with Apple AirPlay & Homekit | HDR 10 Pro | 8 GB Storage | Supported Apps: Prime Video, Netflix, Disney+ Hotstar, Sony Liv, Zee5, Apple TV and more","Universal Remote with Hot Keys for Netflix, Prime Video, Disney+Hotstar, OK Google & Alexa","IR, Bluetooth",High Brightness,180 Volts,45 Watts,6 Feet,178 Degrees,"AVI, MPEG",9 Milliseconds,No,,,,,,,1366 Pixels,,,,,,,,,,,
67,67,https://images-eu.ssl-images-amazon.com/images/I/51kPYfJb55L._SY300_SX300_QL70_ML2_.jpg,CROMA,Veira Electronics Pvt.Ltd,CREL040FOF024601,2022.0,89.2 x 8.5 x 51.3 cm; 7.3 Kilograms,CREL040FOF024601,1 GB,Android,"USB, HDMI",,19201080 Pixels,"1 LED TV, 2 Table Top Stand, 1 User Manual, 1 Remote Control, 1 Wall Mount",1.0,LED,40 Inches,LED,,1920 x 1080 pixels,Surround,,2.0,Corded Electric,Yes,60 Hz,HDMI,Wall Mount and Table Mount,,India,7 kg 300 g,Croma 102 cm (40 Inches) Full HD Certified Android Smart LED TV CREL040FOF024601 (Black) (2022 Model)  ,3.9 out of 5 stars,"18,990",https://amazon.in/Croma-Inches-Certified-Android-CREL040FOF024601/dp/B09X6VXCWF/ref=sr_1_55?keywords=tv&qid=1660812290&sr=8-55,2 AAA batteries required. (included),8 GB,178 Degrees,16:9,5000:01,20 Watts,Yes,Alkaline,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,https://images-eu.ssl-images-amazon.com/images/I/41JpykaA98S._SX300_SY300_QL70_ML2_.jpg,OnePlus,Radiant Appliances and Electronics Pvt. Ltd.,65U1S,2021.0,21.2 x 88.8 x 144.8 cm; 18.3 Kilograms,65U1S,2 GB,Android,"USB, HDMI, Bluetooth 5",G52 MC1,3840x2160 Pixels,1 TV unit | 1 Remote| 1 AC Power Cord | 1AV In Adaptor | 1 Set Stand | 1 Wall Mount | 1 User manual and warranty card,1.0,LED,65 Inches,HDR10+ | HDR10 | HLG,JPEG,3840 x 2160 pixels,,"Mp3_audio, Wma",Dolby Audio,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,18 kg 300 g,OnePlus 163.8 cm (65 inches) U Series 4K LED Smart Android TV 65U1S (Black)  ,4.2 out of 5 stars,"63,999",https://amazon.in/OnePlus-163-8-inches-Android-65U1S/dp/B095JPKPH3/ref=sr_1_56?keywords=tv&qid=1660812290&sr=8-56,,16 GB,178 Degrees,16:09,1200:1,30 Watts,No,,2.0,Yes,65U1S,PAL,"Gamma Engine | Google Assistant | OnePlus Connect 2.0 | OxygenPlay 2.0 | Data Saver Plus | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now, Oxygen Play",One Click- Netflix |Amazon Prime Video | Google Assistant | with Voice Assitant,Bluetooth | Voice Enabled,High Brightness,,215 Watts,9 Feet,178 Degrees,"AVI, MPEG",8 Milliseconds,,,,,,,,,,,,,,,,,,,
69,69,https://m.media-amazon.com/images/I/41Y+SwHCJzL._SX300_SY300_.jpg,AmazonBasics,"Veira Electronics Private Limited D-239, SEC-63, NOIDA (U.P.) 201305",AB50U20PS,2020.0,112.1 x 9.2 x 66 cm; 9.1 Kilograms,AB50U20PS,1.5 GB,FireOS,"USB, HDMI",MaliG31 MP2,3840x2160 Pixels,"1 LED TV, 1 Table Top Stand, 1 Wall Mount, 1 User Manual, 1 Remote Control, 2 AAA Batteries, 1 Power Cord, 1 AV Converting cable",1.0,LED,50 Inches,LED,JPEG,3840 x 2160 pixels,Surround,"Dolby Digital, Dolby Digital + and Dolby Atmos, WMA, MP3_audio",Surround Sound,AC,No,60 Hz,Wi-Fi,Wall Mount,Yes,India,9 kg 100 g,AmazonBasics 127 cm (50 inches) 4K Ultra HD Smart LED Fire TV with Dolby Atmos and Dolby Vision (Black)  ,4.0 out of 5 stars,"31,499",https://amazon.in/AmazonBasics-127cm-inch-Ultra-Smart/dp/B087JYBBSR/ref=sr_1_57?keywords=tv&qid=1660812290&sr=8-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,https://images-eu.ssl-images-amazon.com/images/I/51q8vYW6hhL._SY300_SX300_QL70_ML2_.jpg,Sony,Sony,KD-43X75K,2022.0,97.1 x 7.7 x 57.5 cm; 8 Kilograms,KD-43X75K,,Android,"Ethernet, Composite Video, Bluetooth 5",X1 4K Processor,3840 x 2160 Pixels,"1 LED TV, 1 Warranty Card,1 AC Adapter, 1 AC Power Cord, 1 Remote Control, 1 Table-Top Stand, 1 User Manual, 2 AAA Batteries",1.0,LED,43 Inches,4K HDR,"TIFF, JPEG",3840 x 2160 pixels,Two channel linear,"Mp3_audio, Wma",Dolby Audio,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,Yes,India,8 kg,Sony Bravia 108 cm (43 inches) 4K Ultra HD Smart LED Google TV KD-43X75K (Black) (2022 Model) | with Alexa Compatibility  ,4.8 out of 5 stars,"50,900",https://amazon.in/Sony-Bravia-inches-KD-43X75K-Compatibility/dp/B09WN49Y8F/ref=sr_1_58?keywords=tv&qid=1660812290&sr=8-58,2 AAA batteries required. (included),,178 Degrees,16:09,,20 Watts,Yes,Alkaline,2.0,Yes,Bravia,DVB-T,Google TV | Watchlist | Voice Search | Google Play | Chromecast | Netflix | Amazon Prime Video | Additional Features: Apple Airplay | Apple Homekit | Alexa,One Click Google Assistant | Youtube | Netflix | Youtube Music | Prime Video,"IR, Bluetooth",High Brightness,240 Volts,96 Watts,3 Feet,178 Degrees,"AVI, MPEG",,No,"Android Phone, Home theatre, IPhone",60 Hz,,,,,,,,,,,,,,,,
71,71,https://images-eu.ssl-images-amazon.com/images/I/51prU5hcQbL._SY300_SX300_QL70_ML2_.jpg,Sony,Sony,KD-65X74K,2022.0,146.3 x 8.7 x 85.2 cm; 22.1 Kilograms,KD-65X74K,,Android,"Ethernet, Composite Video, Bluetooth 5",X1 4K Processor,3840 x 2160 Pixels,"1 LED TV, 1 Warranty Card,1 AC Adapter, 1 AC Power Cord, 1 Remote Control, 1 Table-Top Stand, 1 User Manual, 2 AAA Batteries",1.0,LED,65 Inches,4K HDR,"TIFF, JPEG",3840 x 2160 pixels,Two channel linear,"Mp3_audio, Wma",Dolby Audio,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,Yes,India,22 kg 100 g,Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black)  ,4.8 out of 5 stars,"86,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A03768442EQ5K80ORFOW4&url=%2FSony-Bravia-inches-Google-KD-65X74K%2Fdp%2FB09WN3SRC7%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dtv%26qid%3D1660812290%26sr%3D8-59-spons%26psc%3D1&qualifier=1660812290&id=4040806433273686&widgetName=sp_mtf,2 AAA batteries required. (included),,178 Degrees,16:09,,20 Watts,Yes,Alkaline,2.0,Yes,KD-65X74K,DVB-T,Google TV | Watchlist | Voice Search | Google Play | Chromecast | Netflix | Amazon Prime Video | Additional Features: Apple Airplay | Apple Homekit | Alexa,One Click Google Assistant | Youtube | Netflix | Youtube Music | Prime Video,"IR, Bluetooth",High Brightness,240 Volts,180 Watts,5 Feet,178 Degrees,"AVI, MPEG",,No,"Android Phone, Home theatre, IPhone",60 Hz,,,,,,,,,,,,,,,,
72,72,https://images-eu.ssl-images-amazon.com/images/I/41dvZHrAhTL._SX300_SY300_QL70_ML2_.jpg,NVY,Reach NVY PVT Ltd,32 SMART TV,2022.0,,32 SMART TV,1 GB,Android,"Ethernet, HDMI, USB 2.0",,1366768 Pixels,"1 LED TV, 1 Table Top Stand, 1 Wall Mount Bracket, 1 User Manual, 1 Warranty Card, 1 Remote Control",1.0,LED,32 Inches,LED,,,Surround,"Mp3_audio, Wma",2,AC,No,60 Hz,"Wi-Fi, HDMI",Wall Mount,,India,5 kg,NVY 80 cm (32 inch) HD Ready Smart LED TV | NVA32SFR1 (Black) (2022 Model) with Android 9.0  ,4.4 out of 5 stars,"10,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A06313891JMLU6VY8N7AD&url=%2FNVY-32-TV-NVA32SFR1-Android%2Fdp%2FB09WDZNLN9%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dtv%26qid%3D1660812290%26sr%3D8-60-spons%26psc%3D1&qualifier=1660812290&id=4040806433273686&widgetName=sp_mtf,,8 GB,178 Degrees,16:9,,20 Watts,,,2.0,Yes,NVA32SFR1,,,,IR,,240 Volts,48 Watts,7 Feet,,,8 Milliseconds,,,,,,,,,80 x 52 x 13 cm; 5 Kilograms,,,,,,,,,,
73,73,https://images-eu.ssl-images-amazon.com/images/I/41FX2Z3KyNL._SX300_SY300_QL70_ML2_.jpg,HYUNDAI,Goldenarch Consumer Electronics Pvt. Ltd.,SMTHY32ECVRY1W,2022.0,73.5 x 21 x 47 cm; 4.5 Kilograms,SMTHY32ECVRY1W,1 GB,Android,"USB, HDMI, Headphone",Mali-G31 MP2,1366 x 768 Pixels,"1 LED tv, 1 Remote, 1 Manual, 1 Warranty card, 1 Pair of Table Stand, 1 Wall mount kit",1.0,LED,32 Inches,A+,"GIF, JPEG",,Stereo,"Mp3_audio, Wma",Stereo Surround,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount & Table Mount,Yes,India,4 kg 500 g,Hyundai 80 cm (32 inches) HD Ready Smart LED TV SMTHY32ECVRY1W (Black)  ,4.4 out of 5 stars,"11,990",https://amazon.in/Hyundai-inches-Ready-Smart-SMTHY32ECVRY1W/dp/B0B4VRBD36/ref=sr_1_61?keywords=tv&qid=1660812290&sr=8-61,,8 GB,178 Degrees,16:09,3000:1,20 Watts,Yes,Zinc Carbon,2.0,Yes,Hyundai 80 cm (32 inches) HD Ready Smart LED TV with Voice Remote SMTHY32ECVRY1W (2022 Model),PAL,Durable A+ Grade DLED panel | Ultra bright screen for flawless picture quality even in bright rooms,One Click Disney Hotstar Button | With Voice Assistant,"IR, Bluetooth",High Brightness,130 Volts,60 Watts,9 Feet,178 Degrees,"AVI, MPEG",8 Milliseconds,No,,,,,,,,,,,,,,,,,,
74,74,https://m.media-amazon.com/images/I/41+cndTeqPL._SX300_SY300_.jpg,MI,DIXON TECHNOLOGIES (INDIA) LIMITED,L43M6-EI,2020.0,96 x 7.5 x 60.8 cm; 9 Kilograms,L43M6-EI,1 GB,Android,"USB, HDMI",Mali-450 MP3 up to 667MHz,1920x1080 Pixels,"1 LED TV, 1 Table Top Stand, 1 User Manual, 1 Warranty Card, 1 Remote Control, 1 Power Cable / Power Supply Adapter",1.0,LED,43 Inches,LED,JPEG,1920 x 1080 pixels,Stereo,"Mp3_audio, Wma",DTS-HD sound,AC,No,60 hertz,Wi-Fi,,Yes,India,9 kg,Mi 108 cm (43 inches) Horizon Edition Full HD Android LED TV 4A | L43M6-EI (Black)  ,4.3 out of 5 stars,"24,999",https://amazon.in/MI-Horizon-108cm-inches-Android/dp/B08H883LR6/ref=sr_1_62?keywords=tv&qid=1660812290&sr=8-62,AAA batteries required.,,,,,,No,Alkaline,,,Horizon Edition,NTSC/PAL,"Bluetooth, USB",,,,,,,,,,,,,,,,,,,,,,,Dixon Technologies (India) Limited,,,,,
75,75,https://m.media-amazon.com/images/I/51fG2C1A+XL._SY300_SX300_.jpg,TOSHIBA,DIXON TECHNOLOGY (INDIA) LIMITEDSHED,55M550LP,2022.0,128.8 x 71.3 x 8.1 cm; 14.8 Kilograms,55M550LP,2 GB,Android,"HDMI, 3.5mm Audio, USB 2.0, Bluetooth 5, 802.11 ac/b/g/n",ARM Mali-G52,3840x2160 Pixels,"1 TV Unit, 1 Remote, 1 Table Top Stand, 1 Wall Mount Bracket, 2 AAA Battery, 1 User Manual, 1 Warranty Card",1.0,QLED,55 Inches,HDR10+ | HLG,"GIF, JPEG",,Surround,"Mp3_audio, Wma",Dolby Atmos,AC,Yes,60 Hz,"Wi-Fi, USB, Ethernet, HDMI",Wall Mount,Yes,India,14 kg 800 g,Toshiba 139 cm (55 inches) 4K Ultra HD Smart QLED Google TV 55M550LP (Black)  ,4.8 out of 5 stars,"52,990",https://amazon.in/Toshiba-inches-Ultra-Google-55M550LP/dp/B0B61756PY/ref=sr_1_63?keywords=tv&qid=1660812290&sr=8-63,,16 GB,178 Degrees,16:09,1200:1,49 Watts,Yes,Alkaline,2.0,Yes,,DVB-T2,"Google TV | Dolby Vision HDR | Google Assistant | Chromecast, Miracast, DLNA | Auto Low Latency Mode for VRR | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now","One Click Netflix, SonyLiv, Prime Video, YouTube, Disney+ | Google Assistant | With Voice Assitant","IR, Bluetooth",Ultra Brightness,230 Volts,180 Watts,9 Feet,178 Degrees,"MPEG, AVI",8 Milliseconds,No,,,,16:9,,,,,,,,HDMI,,49 Watts,,,,
