product,rating,price,product_url
Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black)  ,4.6 out of 5 stars,"29,999",https://amazon.in/Acer-inches-Ultra-Android-AR50AR2851UDFL/dp/B0B1YZX72F/ref=sr_1_20?keywords=tv&qid=1660812281&sr=8-20
NVY 80 cm (32 inch) HD Ready Smart LED TV | NVA32SFR1 (Black) (2022 Model) with Android 9.0  ,4.4 out of 5 stars,"10,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06313891JMLU6VY8N7AD&url=%2FNVY-32-TV-NVA32SFR1-Android%2Fdp%2FB09WDZNLN9%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-21-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_btf
Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03301052HG8ZJO86QMJ4&url=%2FKarbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less%2Fdp%2FB0B466C3G4%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dtv%26qid%3D1660812281%26sr%3D8-22-spons%26psc%3D1&qualifier=1660812281&id=1714308816747958&widgetName=sp_btf
AmazonBasics 139 cm (55 inches) 4K Ultra HD Smart LED Fire TV with Dolby Atmos and Dolby Vision (Black)  ,4.0 out of 5 stars,"36,499",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A072245884IUQUZQA39R&url=%2FAmazonBasics-139cm-inch-Ultra-Smart%2Fdp%2FB087JYRGDG%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dtv%26qid%3D1660812285%26sr%3D8-17-spons%26psc%3D1&qualifier=1660812285&id=210756045830316&widgetName=sp_atf_next
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black)  ,4.2 out of 5 stars,"14,999",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A054367039CG9GF4P6B7C&url=%2FRedmi-inches-Ready-L32M6-RA-Android%2Fdp%2FB09F9YQQ7B%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dtv%26qid%3D1660812285%26sr%3D8-18-spons%26psc%3D1&qualifier=1660812285&id=210756045830316&widgetName=sp_atf_next
Croma 140 cm (55 Inches) 4K Ultra HD Smart LED TV CREL055USA024601 (Black) (2022 Model)  ,3.7 out of 5 stars,"33,990",https://amazon.in/Croma-Inches-Ultra-Smart-CREL055USA024601/dp/B0B17FHC54/ref=sr_1_19?keywords=tv&qid=1660812285&sr=8-19
Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50 | L50M6-RA (Black)  ,4.2 out of 5 stars,"34,999",https://amazon.in/Redmi-inches-Ultra-Android-L50M6-RA/dp/B08Y55LPBF/ref=sr_1_20?keywords=tv&qid=1660812285&sr=8-20
AmazonBasics 139 cm (55 inches) 4K Ultra HD Smart LED Fire TV with Dolby Atmos and Dolby Vision (Black)  ,4.0 out of 5 stars,"36,499",https://amazon.in/AmazonBasics-139cm-inch-Ultra-Smart/dp/B087JYRGDG/ref=sr_1_21?keywords=tv&qid=1660812285&sr=8-21
Vu 108 cm (43 Inches) Premium 4K Series Smart Android LED TV 43PM (Grey) (2021 Model)  ,4.3 out of 5 stars,"25,990",https://amazon.in/Inches-Premium-Smart-Android-43PM/dp/B09C8D3XF6/ref=sr_1_22?keywords=tv&qid=1660812285&sr=8-22
Toshiba 80 cm (32 inches) E Series HD Ready Smart Android LED TV 32E35KP (Silver)  ,4.4 out of 5 stars,"13,990",https://amazon.in/Toshiba-inches-Android-32E35KP-Silver/dp/B09TH24MZ9/ref=sr_1_23?keywords=tv&qid=1660812285&sr=8-23
Vu 164 cm (65 inches) Premium 4K Series Smart Android LED TV 65PM (Grey) (2022 Model)  ,4.3 out of 5 stars,"51,990",https://amazon.in/VU-Inches-Ultra-Android-65PM/dp/B088NYV4NN/ref=sr_1_24?keywords=tv&qid=1660812285&sr=8-24
Mi 100 cm (40 inches) Horizon Edition Full HD Android LED TV 4A | L40M6-EI (Black)  ,4.3 out of 5 stars,"20,999",https://amazon.in/inches-Horizon-Android-L40M6-EI-Black/dp/B09HQSV46W/ref=sr_1_25?keywords=tv&qid=1660812285&sr=8-25
NVY 80 cm (32 inch) HD Ready Smart LED TV | NVA32SFR1 (Black) (2022 Model) with Android 9.0  ,4.4 out of 5 stars,"10,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06313891JMLU6VY8N7AD&url=%2FNVY-32-TV-NVA32SFR1-Android%2Fdp%2FB09WDZNLN9%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dtv%26qid%3D1660812285%26sr%3D8-27-spons%26psc%3D1&qualifier=1660812285&id=210756045830316&widgetName=sp_mtf
Karbonn 80 cm (32 Inches) Millennium Series HD Ready Smart LED TV KJW32SKHD (Phantom Black) with Bezel-Less Design  ,4.4 out of 5 stars,"8,990",https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03301052HG8ZJO86QMJ4&url=%2FKarbonn-Millennium-KJW32SKHD-Phantom-Bezel-Less%2Fdp%2FB0B466C3G4%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dtv%26qid%3D1660812285%26sr%3D8-28-spons%26psc%3D1&qualifier=1660812285&id=210756045830316&widgetName=sp_mtf
