id,brand,series,weight,ram,price,graphics,disk,battery,display,processor,max_memory,url,image_url,rating
10,Redmi,XMA2101-BN,1.8,8.0,42990,,512.0,,17.79527559055118,3.1,8.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02744701J5I05YD09YCL&url=%2FRedmi-15-6-inch-Laptop-Windows-Charcoal%2Fdp%2FB09L53YH86%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489478%26sr%3D8-11-spons%26psc%3D1&qualifier=1656489478&id=4413978530269379&widgetName=sp_mtf,https://images-eu.ssl-images-amazon.com/images/I/41XFk1XYcgL._SX300_SY300_QL70_ML2_.jpg,3.9 out of 5 stars
11,Lenovo,82FG01H9IN,1.6600000000000001,16.0,58990,,512.0,,15.6,4.2,,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02457181IASI12QTED2Y&url=%2FLenovo-IdeaPad-Fingerprint-Graphite-82FGO1H9IN%2Fdp%2FB09M423NVT%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489478%26sr%3D8-12-spons%26psc%3D1&qualifier=1656489478&id=4413978530269379&widgetName=sp_mtf,https://m.media-amazon.com/images/I/51c7JY+rpOL._SY300_SX300_.jpg,4.3 out of 5 stars
12,Acer,,1.9,8.0,34990,,512.0,8.0,15.6,2.6,8.0,https://amazon.in/Acer-Aspire-Ryzen-Processor-Laptop/dp/B09S3RRTPH/ref=sr_1_13?keywords=laptop&qid=1656489478&sr=8-13,https://images-eu.ssl-images-amazon.com/images/I/412v2H9aT3L._SX300_SY300_QL70_ML2_.jpg,4.1 out of 5 stars
13,Lenovo,,1.5,4.0,28990,,256.0,14.0,14.0,2.8,4.0,https://amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81WH007KIN/dp/B09MM4FPMR/ref=sr_1_14?keywords=laptop&qid=1656489478&sr=8-14,https://images-eu.ssl-images-amazon.com/images/I/41NvMZxjbKL._SX300_SY300_QL70_ML2_.jpg,3.8 out of 5 stars
14,Lenovo,,2.5,4.0,18304,,500.0,,14.0,,,https://amazon.in/Lenovo-T420-i5-4-GB-500-GB-Integrated/dp/B07KYH14QV/ref=sr_1_15?keywords=laptop&qid=1656489478&sr=8-15,https://images-eu.ssl-images-amazon.com/images/I/41X8Z5N16KL._SX300_SY300_QL70_ML2_.jpg,3.3 out of 5 stars
15,HP,HP 247 G8 Notebook 67U77PA,1.5,8.0,28797,,,,14.0,2.3,16.0,https://amazon.in/HP-247-G8-Warranty-67U77PA/dp/B09RMP6MM7/ref=sr_1_16?keywords=laptop&qid=1656489478&sr=8-16,https://images-eu.ssl-images-amazon.com/images/I/41lNWrEJvvS._SY300_SX300_QL70_ML2_.jpg,3.7 out of 5 stars
16,ASUS,,1.8,16.0,46990,,512.0,6.0,17.79527559055118,4.0,16.0,https://amazon.in/ASUS-Vivobook-15-6-inch-Integrated-M515DA-BQ722WS/dp/B09W9MBS1G/ref=sr_1_17?keywords=laptop&qid=1656489478&sr=8-17,https://images-eu.ssl-images-amazon.com/images/I/414057taYKL._SX300_SY300_QL70_ML2_.jpg,5.0 out of 5 stars
17,Lenovo,82H801L7IN,1.65,8.0,38240,,512.0,,15.6,4.1,12.0,https://amazon.in/Lenovo-IdeaPad-Windows-Warranty-82H801L7IN/dp/B09NP4KXMS/ref=sr_1_18?keywords=laptop&qid=1656489478&sr=8-18,https://images-eu.ssl-images-amazon.com/images/I/51tbcILVglL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
18,HP,14a-na0003TU,1.46,4.0,24889,4.0,64.0,,14.0,1.1,4.0,https://amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_19?keywords=laptop&qid=1656489478&sr=8-19,https://images-eu.ssl-images-amazon.com/images/I/51Q78Szg2aL._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars
19,Acer,A514-54,1.45,8.0,51899,,2048.0,,14.0,4.2,20.0,https://amazon.in/Acer-14-inch-Laptop-Graphics-A514-54/dp/B09RF4YLCJ/ref=sr_1_20?keywords=laptop&qid=1656489478&sr=8-20,https://images-eu.ssl-images-amazon.com/images/I/41wagRMOCeL._SX300_SY300_QL70_ML2_.jpg,3.7 out of 5 stars
20,HP,14s-fq1092au,1.46,8.0,47154,8.0,512.0,,14.0,4.0,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08324291BQ7ENQ9VMB94&url=%2FHP-Micro-Edge-Graphics-Keyboard-14s-fq1092au%2Fdp%2FB09R1L73TM%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489478%26sr%3D8-21-spons%26psc%3D1&qualifier=1656489478&id=4413978530269379&widgetName=sp_btf,https://images-eu.ssl-images-amazon.com/images/I/41qola4WFTL._SX300_SY300_QL70_ML2_.jpg,4.3 out of 5 stars
21,HP,Eq2143AU,1.69,8.0,37849,,512.0,,15.6,3.8,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06028451XZW3A719E10X&url=%2FMicro-Edge-Anti-Glare-Graphics-Speakers-15S-Eq2143Au%2Fdp%2FB09R1MMMTH%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489478%26sr%3D8-22-spons%26psc%3D1&qualifier=1656489478&id=4413978530269379&widgetName=sp_btf,https://m.media-amazon.com/images/I/516+4J0tZlL._SY300_SX300_.jpg,3.7 out of 5 stars
22,HP,14s-dy2506TU,1.46,8.0,38990,,,,14.015748031496063,3.7,16.0,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0447151V9B07ZBYFE2A&url=%2FHP-Micro-Edge-Anti-Glare-Display-Graphics%2Fdp%2FB09MH9M5CV%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dlaptop%26qid%3D1656489481%26sr%3D8-17-spons%26psc%3D1&qualifier=1656489481&id=6518756257622608&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/51mDPrTCtgL._SX300_SY300_QL70_ML2_.jpg,4.2 out of 5 stars
